epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,19111.9,0.82605,0.54711,0.99012,0.85723,0.7156,0.78673,0.60362,0.92391,0.70023,1.08506,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,19385.1,0.83111,0.54881,0.99167,0.81915,0.7393,0.78395,0.60239,0.92234,0.69577,1.08437,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,19662.2,0.82278,0.53616,0.98911,0.81041,0.74564,0.78427,0.60096,0.92323,0.70142,1.08563,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,19928.8,0.81209,0.52762,0.98036,0.83446,0.7379,0.78588,0.60288,0.92103,0.70162,1.08482,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,20196.3,0.81368,0.52543,0.98366,0.8423,0.72045,0.78053,0.59738,0.92358,0.70665,1.08364,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,20459,0.80878,0.52306,0.98343,0.80289,0.75459,0.7806,0.59561,0.92656,0.70859,1.08973,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,20718.9,0.80764,0.52157,0.9825,0.79728,0.76093,0.77519,0.59193,0.92346,0.7078,1.08843,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,20980.9,0.80043,0.51821,0.97988,0.80834,0.73725,0.77727,0.5944,0.92428,0.71283,1.08663,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,21242.2,0.79694,0.50539,0.97744,0.82155,0.73662,0.77686,0.59483,0.92694,0.71562,1.09008,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,21512.3,0.80007,0.51198,0.98039,0.84236,0.72178,0.77544,0.59421,0.92664,0.71213,1.08979,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,21783.2,0.7883,0.50379,0.97258,0.82232,0.73542,0.77933,0.59664,0.92795,0.70863,1.09043,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,22045.3,0.78286,0.49374,0.97132,0.81887,0.73748,0.7789,0.59799,0.92845,0.71198,1.09064,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,22301.2,0.77496,0.48801,0.96726,0.84183,0.72553,0.77693,0.59568,0.92762,0.71463,1.09086,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,22557.6,0.77075,0.48296,0.96367,0.84747,0.73038,0.78054,0.5982,0.92543,0.71244,1.08938,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,22825,0.76568,0.47748,0.96493,0.80575,0.74695,0.7803,0.59726,0.92645,0.71349,1.08929,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,23082.5,0.76801,0.47845,0.96209,0.84232,0.73051,0.78025,0.59713,0.92743,0.71608,1.09057,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,23348.3,0.76205,0.47661,0.963,0.8141,0.74936,0.77908,0.59595,0.92892,0.71597,1.09307,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,23619,0.76237,0.47259,0.96456,0.8528,0.71669,0.77684,0.59311,0.92993,0.71956,1.0955,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,23935.9,0.72153,0.42617,0.95388,0.84976,0.72866,0.78011,0.59626,0.93185,0.72022,1.09726,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
