cell_id,latitude,longitude
935:2925,3.55,112.55
935:2926,3.55,112.65
935:2927,3.55,112.75
935:2928,3.55,112.85
935:2929,3.55,112.95
935:2930,3.55,113.05
935:2931,3.55,113.15
935:2932,3.55,113.25
935:2988,3.55,118.85
935:2989,3.55,118.95
935:2990,3.55,119.05
935:2991,3.55,119.15
935:2992,3.55,119.25
935:2993,3.55,119.35
935:2994,3.55,119.45
935:2995,3.55,119.55
936:2801,3.65,100.15
936:2802,3.65,100.25
936:2803,3.65,100.35
936:2804,3.65,100.45
936:2805,3.65,100.55
936:2806,3.65,100.65
936:2807,3.65,100.75
936:2808,3.65,100.85
936:2809,3.65,100.95
936:2834,3.65,103.45
936:2835,3.65,103.55
936:2836,3.65,103.65
936:2837,3.65,103.75
936:2838,3.65,103.85
936:2839,3.65,103.95
936:2840,3.65,104.05
936:2841,3.65,104.15
936:2842,3.65,104.25
936:2843,3.65,104.35
936:2844,3.65,104.45
936:2845,3.65,104.55
936:2846,3.65,104.65
936:2847,3.65,104.75
936:2900,3.65,110.05
936:2901,3.65,110.15
936:2902,3.65,110.25
936:2903,3.65,110.35
936:2904,3.65,110.45
936:2905,3.65,110.55
936:2906,3.65,110.65
936:2907,3.65,110.75
936:2908,3.65,110.85
936:2909,3.65,110.95
936:2910,3.65,111.05
936:2911,3.65,111.15
936:2912,3.65,111.25
936:2913,3.65,111.35
936:2914,3.65,111.45
936:2915,3.65,111.55
936:2916,3.65,111.65
936:2917,3.65,111.75
936:2918,3.65,111.85
936:2919,3.65,111.95
936:2920,3.65,112.05
936:2921,3.65,112.15
936:2922,3.65,112.25
936:2923,3.65,112.35
936:2924,3.65,112.45
936:2925,3.65,112.55
936:2926,3.65,112.65
936:2927,3.65,112.75
936:2928,3.65,112.85
936:2929,3.65,112.95
936:2930,3.65,113.05
936:2931,3.65,113.15
936:2932,3.65,113.25
936:2933,3.65,113.35
936:2987,3.65,118.75
936:2988,3.65,118.85
936:2989,3.65,118.95
936:2990,3.65,119.05
936:2991,3.65,119.15
936:2992,3.65,119.25
936:2993,3.65,119.35
936:2994,3.65,119.45
936:2995,3.65,119.55
937:2800,3.75,100.05
937:2801,3.75,100.15
937:2802,3.75,100.25
937:2803,3.75,100.35
937:2804,3.75,100.45
937:2805,3.75,100.55
937:2806,3.75,100.65
937:2807,3.75,100.75
937:2808,3.75,100.85
937:2833,3.75,103.35
937:2834,3.75,103.45
937:2835,3.75,103.55
937:2836,3.75,103.65
937:2837,3.75,103.75
937:2838,3.75,103.85
937:2839,3.75,103.95
937:2840,3.75,104.05
937:2841,3.75,104.15
937:2842,3.75,104.25
937:2843,3.75,104.35
937:2844,3.75,104.45
937:2845,3.75,104.55
937:2846,3.75,104.65
937:2847,3.75,104.75
937:2900,3.75,110.05
937:2901,3.75,110.15
937:2902,3.75,110.25
937:2903,3.75,110.35
937:2904,3.75,110.45
937:2905,3.75,110.55
937:2906,3.75,110.65
937:2907,3.75,110.75
937:2908,3.75,110.85
937:2909,3.75,110.95
937:2910,3.75,111.05
937:2911,3.75,111.15
937:2912,3.75,111.25
937:2913,3.75,111.35
937:2914,3.75,111.45
937:2915,3.75,111.55
937:2916,3.75,111.65
937:2917,3.75,111.75
937:2918,3.75,111.85
937:2919,3.75,111.95
937:2920,3.75,112.05
937:2921,3.75,112.15
937:2922,3.75,112.25
937:2923,3.75,112.35
937:2924,3.75,112.45
937:2925,3.75,112.55
937:2926,3.75,112.65
937:2927,3.75,112.75
937:2928,3.75,112.85
937:2929,3.75,112.95
937:2930,3.75,113.05
937:2931,3.75,113.15
937:2932,3.75,113.25
937:2933,3.75,113.35
937:2985,3.75,118.55
937:2986,3.75,118.65
937:2987,3.75,118.75
937:2988,3.75,118.85
937:2989,3.75,118.95
937:2990,3.75,119.05
937:2991,3.75,119.15
937:2992,3.75,119.25
937:2993,3.75,119.35
937:2994,3.75,119.45
938:2799,3.85,99.95
938:2800,3.85,100.05
938:2801,3.85,100.15
938:2802,3.85,100.25
938:2803,3.85,100.35
938:2804,3.85,100.45
938:2805,3.85,100.55
938:2806,3.85,100.65
938:2807,3.85,100.75
938:2808,3.85,100.85
938:2834,3.85,103.45
938:2835,3.85,103.55
938:2836,3.85,103.65
938:2837,3.85,103.75
938:2838,3.85,103.85
938:2839,3.85,103.95
938:2840,3.85,104.05
938:2841,3.85,104.15
938:2842,3.85,104.25
938:2843,3.85,104.35
938:2844,3.85,104.45
938:2845,3.85,104.55
938:2846,3.85,104.65
938:2847,3.85,104.75
938:2900,3.85,110.05
938:2901,3.85,110.15
938:2902,3.85,110.25
938:2903,3.85,110.35
938:2904,3.85,110.45
938:2905,3.85,110.55
938:2906,3.85,110.65
938:2907,3.85,110.75
938:2908,3.85,110.85
938:2909,3.85,110.95
938:2910,3.85,111.05
938:2911,3.85,111.15
938:2912,3.85,111.25
938:2913,3.85,111.35
938:2914,3.85,111.45
938:2915,3.85,111.55
938:2916,3.85,111.65
938:2917,3.85,111.75
938:2918,3.85,111.85
938:2919,3.85,111.95
938:2920,3.85,112.05
938:2921,3.85,112.15
938:2922,3.85,112.25
938:2923,3.85,112.35
938:2924,3.85,112.45
938:2925,3.85,112.55
938:2926,3.85,112.65
938:2927,3.85,112.75
938:2928,3.85,112.85
938:2929,3.85,112.95
938:2930,3.85,113.05
938:2931,3.85,113.15
938:2932,3.85,113.25
938:2933,3.85,113.35
938:2934,3.85,113.45
938:2935,3.85,113.55
938:2984,3.85,118.45
938:2985,3.85,118.55
938:2986,3.85,118.65
938:2987,3.85,118.75
938:2988,3.85,118.85
938:2989,3.85,118.95
938:2990,3.85,119.05
938:2991,3.85,119.15
938:2992,3.85,119.25
938:2993,3.85,119.35
939:2798,3.95,99.85
939:2799,3.95,99.95
939:2800,3.95,100.05
939:2801,3.95,100.15
939:2802,3.95,100.25
939:2803,3.95,100.35
939:2804,3.95,100.45
939:2805,3.95,100.55
939:2806,3.95,100.65
939:2834,3.95,103.45
939:2835,3.95,103.55
939:2836,3.95,103.65
939:2837,3.95,103.75
939:2838,3.95,103.85
939:2839,3.95,103.95
939:2840,3.95,104.05
939:2841,3.95,104.15
939:2842,3.95,104.25
939:2843,3.95,104.35
939:2844,3.95,104.45
939:2845,3.95,104.55
939:2846,3.95,104.65
939:2847,3.95,104.75
939:2900,3.95,110.05
939:2901,3.95,110.15
939:2902,3.95,110.25
939:2903,3.95,110.35
939:2904,3.95,110.45
939:2905,3.95,110.55
939:2906,3.95,110.65
939:2907,3.95,110.75
939:2908,3.95,110.85
939:2909,3.95,110.95
939:2910,3.95,111.05
939:2911,3.95,111.15
939:2912,3.95,111.25
939:2913,3.95,111.35
939:2914,3.95,111.45
939:2915,3.95,111.55
939:2916,3.95,111.65
939:2917,3.95,111.75
939:2918,3.95,111.85
939:2919,3.95,111.95
939:2920,3.95,112.05
939:2921,3.95,112.15
939:2922,3.95,112.25
939:2923,3.95,112.35
939:2924,3.95,112.45
939:2925,3.95,112.55
939:2926,3.95,112.65
939:2927,3.95,112.75
939:2928,3.95,112.85
939:2929,3.95,112.95
939:2930,3.95,113.05
939:2931,3.95,113.15
939:2932,3.95,113.25
939:2933,3.95,113.35
939:2934,3.95,113.45
939:2935,3.95,113.55
939:2936,3.95,113.65
939:2983,3.95,118.35
939:2984,3.95,118.45
939:2985,3.95,118.55
939:2986,3.95,118.65
939:2987,3.95,118.75
