cell_id,latitude,longitude,relative_occurrence_score,species_slug,scientific_name,selected_model
918:2897,1.85,109.75,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2898,1.85,109.85,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2899,1.85,109.95,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2900,1.85,110.05,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2901,1.85,110.15,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2902,1.85,110.25,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2903,1.85,110.35,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2904,1.85,110.45,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2905,1.85,110.55,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2906,1.85,110.65,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2907,1.85,110.75,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2908,1.85,110.85,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2909,1.85,110.95,0.31111643650820286,ocellaris_clownfish,Amphiprion ocellaris,random_forest
918:2910,1.85,111.05,0.31111643650820286,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2822,1.95,102.25,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2823,1.95,102.35,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2824,1.95,102.45,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2825,1.95,102.55,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2841,1.95,104.15,0.8150247710881837,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2842,1.95,104.25,0.7733168179851968,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2843,1.95,104.35,0.49586516558636945,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2844,1.95,104.45,0.3235824354007126,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2845,1.95,104.55,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2846,1.95,104.65,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2847,1.95,104.75,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2848,1.95,104.85,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2849,1.95,104.95,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2850,1.95,105.05,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2896,1.95,109.65,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2897,1.95,109.75,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2898,1.95,109.85,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2899,1.95,109.95,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2900,1.95,110.05,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2901,1.95,110.15,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2902,1.95,110.25,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2903,1.95,110.35,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2904,1.95,110.45,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2905,1.95,110.55,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2906,1.95,110.65,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2907,1.95,110.75,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2908,1.95,110.85,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2909,1.95,110.95,0.31111643650820286,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2910,1.95,111.05,0.31111643650820286,ocellaris_clownfish,Amphiprion ocellaris,random_forest
919:2911,1.95,111.15,0.31111643650820286,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2821,2.05,102.15,0.647402225918675,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2822,2.05,102.25,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2823,2.05,102.35,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2824,2.05,102.45,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2825,2.05,102.55,0.6805929240261641,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2841,2.05,104.15,0.8150247710881837,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2842,2.05,104.25,0.7733168179851968,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2843,2.05,104.35,0.49586516558636945,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2844,2.05,104.45,0.3235824354007126,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2845,2.05,104.55,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2846,2.05,104.65,0.3111511299658157,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2847,2.05,104.75,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2848,2.05,104.85,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2849,2.05,104.95,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2850,2.05,105.05,0.3105476386939952,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2896,2.05,109.65,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2897,2.05,109.75,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2898,2.05,109.85,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
920:2899,2.05,109.95,0.3098864365082029,ocellaris_clownfish,Amphiprion ocellaris,random_forest
